kl_dog,kl_cat,loss_cat,loss_dog
1278.5868,10280.202,5.878009,5.3416543
1272.2405,10215.48,6.3831577,6.806411
1267.1884,10151.188,7.1761866,7.023848
1311.0082,10087.316,6.3652115,6.7713437
1303.1272,10024.14,7.252374,7.413862
1295.9169,9962.645,5.7837753,6.4003253
1303.0532,9904.326,8.603101,8.887873
1296.5651,9843.924,6.6476374,6.519636
1290.1914,9786.147,6.750032,7.1145678
1284.2185,9727.555,5.5650415,5.876808
1277.3268,9668.742,6.1469107,6.481777
1274.4204,9611.0205,6.151233,6.5137424
1268.0784,9554.716,6.0024643,6.273921
1264.2683,9502.111,7.555364,7.6251154
1257.2249,9446.867,5.5987277,5.5980396
1250.6201,9392.151,8.157733,8.509836
1246.3909,9337.767,7.783009,7.4747286
1243.0369,9283.26,6.0005274,5.5004725
1239.5673,9231.201,7.156065,7.0790334
1233.9523,9179.21,5.3014493,5.3391895
1227.2682,9127.044,6.7070017,6.8281
1221.5311,9076.203,5.544291,5.990704
1216.0103,9026.267,5.538876,5.9986706
1212.6306,8980.271,6.757867,6.7667775
1207.4303,8931.5,6.152967,6.4546747
1202.2269,8885.255,6.8144126,7.5547953
1200.5068,8836.929,5.9750376,6.112198
1195.3401,8789.582,4.8945,5.2870984
1190.9719,8742.335,6.8696084,6.7362304
1186.3104,8695.963,5.9634066,6.0713654
1185.9269,8649.485,5.415051,5.336524
1181.5885,8604.113,5.5693746,6.3554983
1177.0586,8559.92,5.432813,5.817263
1176.7261,8514.793,6.9864283,7.1280184
1177.1649,8469.602,6.162853,5.9462643
1186.1749,8428.684,8.617719,8.676295
1181.9193,8387.537,6.5562305,7.0284224
1180.9248,8344.77,5.4782243,5.614882
1178.8105,8303.93,6.642423,6.6650844
1175.0105,8262.405,6.369955,6.2788405
1171.4648,8221.663,5.4378157,5.812582
1176.6241,8183.202,7.4238386,7.405593
1172.0422,8142.8994,5.103834,5.2319717
1167.713,8102.7134,8.221106,8.786957
1164.0554,8063.703,5.375203,5.7441144
1158.9153,8024.701,5.9212813,6.0117564
1156.5488,7985.858,9.542496,9.828054
1150.9763,7946.8096,7.0450125,7.06796
1151.4799,7907.606,6.627865,5.4673405
1146.8523,7870.129,5.5273647,5.9296637
1142.6525,7834.951,6.535942,7.305363
1137.9604,7798.0103,7.621437,8.670592
1134.6466,7762.785,6.054373,6.2091713
1140.5212,7728.8325,7.3144855,7.2714877
1140.0549,7692.395,7.2614594,6.6169434
1135.1116,7657.0024,5.577688,5.7985435
1135.0642,7621.6875,9.468607,9.756242
1131.2543,7586.8726,6.153169,6.0008254
1128.9712,7553.6763,5.5336876,5.4970226
1130.1676,7518.3145,6.966874,5.9702244
1126.8916,7484.9126,5.0685606,5.204056
1123.4937,7451.698,6.069721,6.586503
1119.0322,7418.4917,5.6223474,5.9807653
1117.0427,7388.693,7.4487085,7.6551037
1112.3242,7356.183,5.371339,5.4711113
1111.246,7323.17,7.0991774,7.104691
1107.3253,7290.2593,6.2071366,6.4569583
1104.0864,7260.5703,6.663647,7.300783
1104.7402,7227.979,5.819288,5.1837277
1101.7738,7197.0137,4.871767,5.5537033
1100.3962,7165.7256,5.893551,6.00191
1133.2013,7137.2666,7.390949,7.3877497
1129.5043,7106.895,5.342116,5.5553107
1125.6986,7077.4136,5.6932974,6.146316
1122.0897,7047.5454,5.7766724,5.703127
1118.0951,7017.1475,6.365117,6.526484
1116.1265,6987.8604,8.65945,8.955887
1114.3925,6958.5806,5.813245,6.3213005
1111.0713,6931.9385,6.314015,6.9288263
1106.6586,6902.8013,6.480934,6.9152856
1103.0848,6874.484,7.686656,8.353103
1099.3202,6846.3833,5.7191653,5.7649117
1096.713,6818.6333,5.2108593,5.584891
1094.4103,6795.3096,7.498134,7.698054
1091.1482,6768.3457,5.945367,6.352875
1090.0488,6740.648,6.61818,6.559388
1087.1959,6714.4756,5.080029,5.3712835
1084.3473,6688.3384,5.580134,5.7486343
1082.6381,6663.1084,5.79481,5.858541
1079.7802,6637.2817,5.959152,6.196594
1079.3689,6610.201,6.1682987,5.751347
1076.4186,6584.3115,7.6587462,7.9480653
1083.1201,6561.03,7.7916546,7.8159437
1079.6964,6535.364,4.754458,4.865656
1078.534,6509.945,5.6238747,5.7939224
1077.6963,6485.0195,9.420636,9.908322
1074.1427,6459.5596,6.4016037,6.8608694
1071.5352,6441.7764,6.7647057,6.554899
1068.5516,6419.2305,6.282975,6.901785
1065.2914,6395.126,4.8214192,5.469768
1062.5176,6371.277,4.5723324,5.3963714
1058.6329,6346.901,6.579563,6.412996
1056.9241,6322.1807,6.0518093,5.553385
1054.1088,6298.808,5.9548206,5.7004633
1051.22,6275.3853,7.5923686,7.972386
1047.5593,6252.4023,5.605912,5.9451575
1044.3398,6228.7383,5.935697,5.9581194
1042.1655,6206.2993,5.458358,4.9869256
1038.582,6183.254,5.9493265,6.0302815
1038.2634,6159.8237,6.4144063,5.4986825
1035.785,6137.8164,6.905955,7.6067433
1032.6908,6115.8,4.6445785,4.6632495
1030.5515,6094.6567,5.94844,6.063819
1029.4287,6074.338,5.8131313,5.7234187
1026.6569,6052.113,5.338014,5.6070986
1034.006,6033.1846,7.564501,7.3543997
1032.2131,6012.887,5.1690288,6.0261593
1030.814,5992.536,5.7493854,5.5347786
1029.1743,5974.5923,6.247825,6.426057
1029.1658,5955.642,5.49144,5.462452
1027.1353,5935.188,6.821188,7.5051737
1023.8265,5914.334,5.789544,5.818675
1021.6774,5894.4775,5.441948,6.0823793
1029.5983,5876.6865,7.0093355,7.1091022
1030.1399,5856.1396,6.5916553,6.152996
1027.0457,5836.4395,5.668453,5.978838
1024.3995,5816.3022,6.8255215,6.481202
1022.1476,5798.7373,6.435013,6.9627666
1020.4576,5781.16,5.18059,5.326496
1017.3197,5761.514,5.9628563,6.106123
1015.8513,5742.852,5.2877693,5.920027
1013.08203,5723.09,5.932452,6.217268
1012.6958,5703.175,6.0326347,5.453553
1010.09973,5684.3315,4.613677,4.788228
1010.6858,5665.136,6.3887153,6.054614
1009.5828,5651.497,7.7700667,7.807214
1007.696,5633.5293,6.493495,7.230624
1006.8965,5615.15,5.8095813,6.1876364
1004.0176,5596.8374,5.097143,5.436016
1002.40796,5579.6675,5.6411138,5.661289
1003.12683,5560.8076,5.5412664,5.0727024
1029.5042,5545.443,8.041574,7.773315
1027.7203,5529.7,5.0732603,5.026076
1024.8975,5511.463,5.735731,6.1242895
1021.60254,5494.5254,5.7666125,6.175945
1019.93805,5476.772,6.323045,5.58846
1017.1052,5459.4976,4.7705245,4.6508284
1015.0644,5444.8457,5.265756,4.980134
1012.76074,5428.2363,5.2355933,5.664336
1010.2011,5411.926,5.4750795,5.4575086
1009.33264,5395.104,5.6376305,5.8630824
1007.0195,5377.9067,5.834038,6.1026177
1004.1464,5361.324,5.6916723,5.8408766
1001.8971,5345.8447,5.427372,5.7153873
999.96954,5334.148,7.3263407,7.569244
997.01245,5318.5293,5.007614,5.3831167
998.51483,5306.0103,7.146223,6.8078947
997.20325,5290.624,5.4843864,5.344296
997.35144,5276.8975,4.9933968,5.002083
997.3021,5260.194,6.6398106,5.524832
994.7254,5244.6763,5.30519,5.3618765
992.902,5229.5522,6.919807,7.719289
991.05615,5214.4463,4.7552857,5.0684924
992.16156,5199.0615,5.521355,5.5420747
990.7734,5188.9185,6.23475,6.777767
989.18634,5174.6987,5.0885034,5.5228496
988.5148,5159.251,5.9838085,6.041486
987.688,5143.2627,5.261299,4.9571896
985.77637,5128.4917,4.545363,4.468419
